   line      element
   503.6681  Ti II   
   503.6914  Cr I    
   503.6920  Fe II   
   503.6922  Fe I    
   503.7016  V I     
   503.7029  Sc I    
   503.7069  Mn II   
   503.7177  Mo I    
   503.7180  Ti I    
   503.7221  Ti II   
   503.7318  Ta I    
   503.7391  Sc I    
   503.7391  Sc I    
   503.7399  V I     
   503.7460  Pr II   
   503.7513  Cr I    
   503.7519  Mo I    
   503.7587  Co I    
   503.7655  Ta I    
   503.7684  Fe I    
   503.7790  Ti II   
   503.7800  Ce II   
   503.7881  Cr I    
   503.8217  Fe I    
   503.8399  Ti I    
   503.8507  Fe I    
   503.8587  Cr I    
   503.8588  Ni I    
   503.8811  Fe I    
   503.8867  Cr II   
   503.8897  Mo I    
   503.8905  Cr I    
   503.9022  Nb I    
   503.9057  C I     
   503.9080  Cr I    
   503.9088  Gd I    
   503.9100  C I     
   503.9108  Os I    
   503.9176  Fe I    
   503.9219  Ti I    
   503.9231  Th I    
   503.9250  Fe I    
   503.9355  Ni I    
   503.9539  Fe I    
   503.9573  V I     
   503.9641  V I     
   503.9705  Sc II   
   503.9732  Ce I    
   503.9799  Ce II   
   503.9847  Co I    
   503.9851  Ca I    
   503.9878  V II    
   503.9913  V II    
   503.9919  Nd I    
   503.9919  C I     
   503.9934  Ti I    
   503.9959  Ti I    
   504.0038  Ti II   
   504.0134  C I     
   504.0172  Sc I    
   504.0184  Nd I    
   504.0252  Fe I    
   504.0259  Mn I    
   504.0340  Ru I    
   504.0371  W I     
   504.0429  Cr II   
   504.0556  V I     
   504.0594  Mn I    
   504.0615  Ti I    
   504.0680  Th I    
   504.0739  Ni I    
   504.0739  Ru I    
   504.0765  C I     
   504.0810  V II    
   504.0833  Hf II   
   504.0833  Co I    
   504.0846  Ce I    
   504.0853  Fe I    
   504.0901  Fe I    
   504.0955  Mn II   
   504.0993  Tm II   
   504.1012  Ni I    
   504.1071  Fe I    
   504.1108  Ti I    
   504.1217  Sc I    
   504.1253  Cr II   
   504.1309  Fe I    
   504.1346  Fe I    
   504.1466  V I     
   504.1481  C I     
   504.1530  Ca I    
   504.1540  Ti I    
   504.1618  Ca I    
   504.1727  Fe I    
   504.1755  Fe I    
   504.1796  C I     
   504.1840  Mn I    
   504.1847  Fe I    
   504.1868  Ti II   
   504.1881  Ti I    
   504.1901  Mn I    
   504.1998  Mn II   
   504.2038  Cr I    
   504.2047  Er II   
   504.2081  Ce I    
   504.2109  Fe I    
   504.2139  Fe II   
   504.2149  Ca I    
   504.2182  Ni I    
   504.2211  Cr II   
   504.2233  Ce I    
   504.2407  Ti I    
   504.2413  Fe I    
   504.2458  V I     
   504.2473  Cr I    
   504.2537  Ca I    
   504.2583  Mn I    
   504.2621  Cr I    
   504.2636  Dy I    
   504.2768  Fe II   
   504.2862  Sc I    
   504.2867  Cr I    
   504.2878  Cr I    
   504.2895  Sc I    
   504.2974  Si I    
   504.3199  Ce I    
   504.3242  As I    
   504.3249  Cr I    
   504.3313  Ta I    
   504.3360  Ca I    
   504.3455  Cr II   
   504.3503  Tm I    
   504.3509  V I     
   504.3575  V II    
   504.3577  Cr I    
   504.3588  Ti I    
   504.3712  Fe II   
   504.3761  C I     
   504.3778  Co II   
   504.3827  Pr I    
   504.3868  Er I    
   504.3974  V I     
   504.4017  Co I    
   504.4023  Ce II   
   504.4051  Pt I    
   504.4071  V I     
   504.4127  Sc II   
   504.4127  Sc II   
   504.4196  Cr II   
   504.4210  Fe I    
   504.4276  Ti I    
   504.4277  Sm I    
   504.4328  Ca I    
   504.4356  Mo I    
   504.4440  Sc I    
   504.4463  Co I    
   504.4652  Er I    
   504.4720  Ho I    
   504.4720  Th I    
   504.4765  Ca I    
   504.4767  Th I    
   504.4850  Ti II   
   504.4863  Ti I    
   504.4908  Ti I    
   504.5038  Cr I    
   504.5041  Mn I    
   504.5191  Mn II   
   504.5222  Ti I    
   504.5249  Th I    
   504.5365  Mo I    
   504.5406  P I     
   504.5412  Tm I    
   504.5416  Ti I    
   504.5416  Ca I    
   504.5522  Pr I    
   504.5535  V I     
   504.5644  Cr I    
   504.5665  Co I    
   504.5852  Ca I    
   504.5856  V II    
   504.5950  Cr II   
   504.6059  Ir I    
   504.6075  Sc I    
   504.6105  C I     
   504.6118  Cr I    
   504.6319  V II    
   504.6429  Cr II   
   504.6443  Ca I    
   504.6509  Mo I    
   504.6557  Ca I    
   504.6602  Zr I    
   504.6622  V I     
   504.6788  Sc I    
   504.6803  Sc I    
   504.6824  V I     
   504.6872  La I    
   504.6938  C I     
   504.6993  Ca I    
   504.7044  Th I    
   504.7130  Fe I    
   504.7241  Dy I    
   504.7244  V I     
   504.7290  V II    
   504.7305  Ru I    
   504.7405  U II    
   504.7429  Th II   
