   line             element
   5019.45828       Ar II    
   5019.46          S IV     
   5019.4625        Fe II    
   5019.4743        Fe I     
   5019.558         Ni III   
   5019.5656        Fe I     
   5019.6593        Fe I     
   5019.69          Ar I     
   5019.777         Ni II    
   5019.831         Ca I     
   5019.87          Na II    
   5019.87          Na II    
   5019.87          Na II    
   5019.88          Na II    
   5019.88          Na II    
   5019.88          Na II    
   5019.88          Na II    
   5019.971         Ca II    
   5019.9901        Ar II    
   5020.            Al V     
   5020.            Al V     
   5020.0141        Ar II    
   5020.015         Fe II    
   5020.06          Ar I     
   5020.082         Ni II    
   5020.1           N V      
   5020.1           N V      
   5020.1           N V      
   5020.13          Ca I     
   5020.14          Fe V     
   5020.2179        O I      
   5020.24          Al I     
   5020.24          Al I     
   5020.246         S II     
   5020.34          Ni V     
   5020.4980        Fe I     
   5020.57          Ar I     
   5020.619         Ni II    
   5020.694         Ne II    
   5020.794         Ca I     
   5020.8           S I      
   5020.8           S I      
   5020.8           S I      
   5020.952         Ca I     
   5021.02          Ar I     
   5021.1           S I      
   5021.1           S I      
   5021.138         Ca II    
   5021.2           O I      
   5021.38          Ar I     
   5021.384         Ca I     
   5021.471         Ni II    
   5021.49          N II     
   5021.5065        Fe I     
   5021.594         Fe II    
   5021.6           S I      
   5021.6818        Fe I     
   5021.7           N III    
   5021.7           N III    
   5021.7           N III    
   5021.7           N III    
   5021.8           Ar I     
   5021.9482        Fe I     
   5021.95          O VIII   
   5021.991         Ni II    
   5022.074         N II     
   5022.223         Ni II    
   5022.2355        Fe I     
   5022.31          Ar I     
   5022.34          N III    
   5022.4           Ca I     
   5022.4           Ca I     
   5022.420         Fe II    
   5022.657         Ni II    
   5022.76          Ar I     
   5022.765         Ni II    
   5022.792         Fe II    
   5022.82          N III    
   5022.931         Fe II    
   5023.00672       Ar II    
   5023.053         N II     
   5023.217         Ni II    
   5023.27          Ar I     
   5023.376         Ni II    
   5023.407         Ca I     
   5023.637         O II     
   5023.67          Mg III   
   5023.679         Ni III   
   5023.7           S I      
   5023.7           S I      
   5023.7           S I      
   5023.727         Ni III   
   5023.8           S I      
   5023.8           S I      
   5023.82          Ar I     
   5023.823         Ni II    
   5023.85          N IV     
   5023.913         Fe II    
   5024.099         Ca I     
   5024.22          Ca III   
   5024.33          Ar I     
   5024.4146        Fe I     
   5024.467         Ar I     
   5024.525         Ni II    
   5024.532         Ca I     
   5024.68          Fe III   
   5024.68          Fe III   
   5024.68          Fe III   
   5024.683         O II     
   5024.79390       Ar II    
   5024.968         Ca I     
   5025.010         Ar I     
   5025.1137        Fe I     
   5025.2324        Fe II    
   5025.27          Ca I     
   5025.3           Ca I     
   5025.3034        Fe I     
   5025.37          O III    
   5025.49          Ar I     
   5025.568         Ni II    
   5025.659         N II     
   5025.71          Ar I     
   5025.720         Ar I     
   5025.79          Ar I     
   5025.8           N IV     
   5025.87          C IV     
   5025.87          C IV     
   5025.87          C IV     
   5025.94          Ca III   
   5026.003         Fe IV    
   5026.07          N IV     
   5026.07          N IV     
   5026.07          N IV     
   5026.187         Ni II    
   5026.2675        Fe I     
   5026.3           S I      
   5026.3           S I      
   5026.37          N II     
   5026.437         Ni II    
   5026.5           S V      
   5026.511         Ni II    
   5026.76          Ar I     
   5026.806         Fe II    
   5026.9           S I      
   5026.9           S I      
   5026.9           S I      
   5026.90          Ar I     
   5026.988         Ni II    
   5027.105         O II     
   5027.1228        Fe I     
   5027.196         Ne I     
   5027.203         S II     
   5027.2257        Fe I     
   5027.230         Fe II    
   5027.2927        Fe I     
   5027.323         Ca I     
   5027.432         Ca I     
   5027.57          Al I     
   5027.756         Ca I     
   5027.906         Ni II    
   5028.0040        Fe I     
   5028.013         Ca I     
   5028.07          N IV     
   5028.07          N IV     
   5028.10          Ar I     
   5028.1261        Fe I     
   5028.366         O II     
   5028.446         Ca I     
   5028.528         Si II    
   5028.53          Ar I     
   5028.54          O VIII   
   5028.7377        Ar II    
