w ab bp
1221.8 8.346 1.2
1223.0 7.045 1.2
1224.2 7.175 3.4
1227.6 8.401 2.4
1230.0 7.82 1.2
1231.2 7.814 1.2
1232.4 7.715 1.2
1233.6 7.986 2.4
1236.0 7.551 1.2
1237.2 7.14 1.2
1238.4 7.34 1.0
1239.4 7.198 1.2
1240.6 6.636 1.2
1241.8 7.003 1.2
1243.0 7.852 1.2
1244.2 7.678 1.2
1245.4 7.305 1.2
1246.6 7.141 1.2
1247.8 6.711 1.2
1249.0 6.449 1.2
1250.2 6.284 1.0
1251.2 6.225 1.2
1252.4 6.134 1.2
1253.6 5.985 1.2
1254.8 5.905 1.2
1256.0 5.919 1.2
1257.2 5.903 1.2
1258.4 6.014 1.2
1259.6 5.429 1.2
1260.8 5.172 1.2
1262.0 5.28 1.0
1263.0 5.215 1.2
1264.2 5.056 1.2
1265.4 4.801 1.2
1266.6 4.478 1.2
1267.8 4.456 1.2
1269.0 4.419 1.2
1270.2 4.425 1.2
1271.4 4.512 1.2
1272.6 4.566 1.2
1273.8 4.49 1.0
1274.8 4.365 1.2
1276.0 4.213 1.2
1277.2 4.045 1.2
1278.4 3.887 1.2
1279.6 3.759 1.2
1280.8 3.706 1.2
1282.0 3.685 1.2
1283.2 3.785 1.2
1284.4 3.805 1.2
1285.6 3.807 1.0
1286.6 3.748 1.2
1287.8 3.634 1.2
1289.0 3.545 1.2
1290.2 3.485 1.2
1291.4 3.431 1.2
1292.6 3.338 1.2
1293.8 3.337 1.2
1295.0 3.358 1.2
1296.2 3.408 1.2
1297.4 3.464 1.0
1298.4 3.629 1.2
1299.6 3.77 1.2
1300.8 3.819 1.2
1302.0 3.772 1.2
1303.2 3.873 1.2
1304.4 3.859 1.2
1305.6 3.798 1.2
1306.8 3.79 1.2
1308.0 3.714 1.2
1309.2 3.543 1.0
1310.2 3.429 1.2
1311.4 3.287 1.2
1312.6 3.127 1.2
1313.8 3.086 1.2
1315.0 3.059 1.2
1316.2 3.018 1.2
1317.4 3.007 1.2
1318.6 2.984 1.2
1319.8 3.018 1.0
1320.8 3.01 1.2
1322.0 3.075 1.2
1323.2 3.06 1.2
1324.4 3.057 1.2
1325.6 3.038 1.2
1326.8 3.098 1.2
1328.0 2.97 1.2
1329.2 3.057 1.2
1330.4 3.148 1.2
1331.6 3.197 1.0
1332.6 3.189 1.2
1333.8 3.11 1.2
1335.0 2.952 1.2
1336.2 2.805 1.2
1337.4 2.768 1.2
1338.6 2.728 1.2
1339.8 2.744 1.2
1341.0 2.708 1.2
1342.2 2.749 1.2
1343.4 2.731 1.0
1344.4 2.727 1.2
1345.6 2.749 1.2
1346.8 2.754 1.2
1348.0 2.822 1.2
1349.2 2.841 1.2
1350.4 2.901 1.2
1351.6 2.907 1.2
1352.8 2.938 1.2
1354.0 2.94 1.2
1355.2 2.924 1.0
1356.2 2.875 1.2
1357.4 2.833 1.2
1358.6 2.828 1.2
1359.8 2.809 1.2
1361.0 2.799 1.2
1362.2 2.821 1.2
1363.4 2.827 1.2
1364.6 2.792 1.2
1365.8 2.828 1.2
1367.0 2.815 1.0
1368.0 2.794 1.2
1369.2 2.8 1.2
1370.4 2.788 1.2
1371.6 2.74 1.2
1372.8 2.697 1.2
1374.0 2.714 1.2
1375.2 2.737 1.2
1376.4 2.705 1.2
1377.6 2.734 1.2
1378.8 2.786 1.0
1379.8 2.704 1.2
1381.0 2.675 1.2
1382.2 2.721 1.2
1383.4 2.733 1.2
1384.6 2.735 1.2
1385.8 2.702 1.2
1387.0 2.703 1.2
1388.2 2.667 1.2
1389.4 2.675 1.2
1390.6 2.686 1.0
1391.6 2.698 1.2
1392.8 2.761 1.2
1394.0 2.763 1.2
1395.2 2.809 1.2
1396.4 2.809 1.2
1397.6 2.68 1.2
1398.8 2.665 1.2
1400.0 2.66 1.2
1401.2 2.66 1.2
1402.4 2.646 1.0
1403.4 2.624 1.2
1404.6 2.591 1.2
1405.8 2.633 1.2
1407.0 2.668 1.2
1408.2 2.643 1.2
1409.4 2.642 1.2
1410.6 2.596 1.2
1411.8 2.56 1.2
1413.0 2.552 1.0
1414.0 2.504 1.2
1415.2 2.496 1.2
1416.4 2.522 1.2
1417.6 2.509 1.2
1418.8 2.528 1.2
1420.0 2.517 1.2
1421.2 2.501 1.2
1422.4 2.482 1.2
