w fl
3017.0034531 46780000.0
3017.0336233 46820000.0
3017.0637937 46900000.0
3017.0939645 46990000.0
3017.1241355 47110000.0
3017.1543069 47250000.0
3017.1844786 47410000.0
3017.2146505 47620000.0
3017.2448228 47890000.0
3017.2749954 48160000.0
3017.3051682 48370000.0
3017.3353414 48480000.0
3017.3655149 48480000.0
3017.3956887 48390000.0
3017.4258627 48230000.0
3017.4560371 48060000.0
3017.4862118 47920000.0
3017.5163868 47810000.0
3017.5465621 47730000.0
3017.5767376 47670000.0
3017.6069135 47630000.0
3017.6370897 47610000.0
3017.6672662 47610000.0
3017.697443 47610000.0
3017.7276201 47640000.0
3017.7577975 47630000.0
3017.7879752 47480000.0
3017.8181532 47090000.0
3017.8483315 46530000.0
3017.8785101 45970000.0
3017.908689 45500000.0
3017.9388682 45100000.0
3017.9690477 44770000.0
3017.9992275 44530000.0
3018.0294077 44390000.0
3018.0595881 44350000.0
3018.0897688 44400000.0
3018.1199498 44550000.0
3018.1501311 44790000.0
3018.1803127 45120000.0
3018.2104947 45490000.0
3018.2406769 45890000.0
3018.2708594 46300000.0
3018.3010423 46620000.0
3018.3312254 46770000.0
3018.3614088 46710000.0
3018.3915926 46520000.0
3018.4217766 46290000.0
3018.4519609 46090000.0
3018.4821456 45970000.0
3018.5123305 45900000.0
3018.5425158 45910000.0
3018.5727013 45980000.0
3018.6028871 46120000.0
3018.6330733 46330000.0
3018.6632597 46620000.0
3018.6934465 46990000.0
3018.7236336 47390000.0
3018.7538209 47750000.0
3018.7840086 47980000.0
3018.8141965 48120000.0
3018.8443848 48200000.0
3018.8745734 48280000.0
3018.9047622 48330000.0
3018.9349514 48350000.0
3018.9651409 48340000.0
3018.9953306 48330000.0
3019.0255207 48310000.0
3019.0557111 48300000.0
3019.0859018 48290000.0
3019.1160927 48280000.0
3019.146284 48280000.0
3019.1764756 48290000.0
3019.2066675 48300000.0
3019.2368597 48310000.0
3019.2670522 48330000.0
3019.297245 48360000.0
3019.3274381 48380000.0
3019.3576315 48410000.0
3019.3878252 48430000.0
3019.4180192 48430000.0
3019.4482135 48440000.0
3019.4784081 48440000.0
3019.508603 48440000.0
3019.5387982 48450000.0
3019.5689937 48420000.0
3019.5991895 48290000.0
3019.6293856 48000000.0
3019.659582 47600000.0
3019.6897787 47210000.0
3019.7199757 46890000.0
3019.7501731 46630000.0
3019.7803707 46400000.0
3019.8105686 46210000.0
3019.8407668 46080000.0
3019.8709654 46010000.0
3019.9011642 46000000.0
3019.9313633 46030000.0
3019.9615628 46120000.0
3019.9917625 46270000.0
3020.0219625 46500000.0
3020.0521629 46830000.0
3020.0823635 47230000.0
3020.1125645 47620000.0
3020.1427657 47890000.0
3020.1729673 48030000.0
3020.2031691 48100000.0
3020.2333713 48180000.0
3020.2635737 48260000.0
3020.2937765 48320000.0
3020.3239795 48360000.0
3020.3541829 48380000.0
3020.3843866 48400000.0
3020.4145905 48420000.0
3020.4447948 48430000.0
3020.4749994 48430000.0
3020.5052042 48390000.0
3020.5354094 48270000.0
3020.5656149 48000000.0
3020.5958207 47600000.0
3020.6260267 47170000.0
3020.6562331 46750000.0
3020.6864398 46390000.0
3020.7166468 46100000.0
3020.7468541 45890000.0
3020.7770617 45760000.0
3020.8072696 45700000.0
3020.8374777 45700000.0
3020.8676862 45760000.0
3020.897895 45890000.0
3020.9281041 46080000.0
3020.9583135 46350000.0
3020.9885232 46710000.0
3021.0187333 47150000.0
3021.0489436 47580000.0
3021.0791542 47830000.0
3021.1093651 47720000.0
3021.1395763 47250000.0
3021.1697878 46540000.0
3021.1999996 45780000.0
3021.2302118 44980000.0
3021.2604242 43990000.0
3021.2906369 42720000.0
3021.3208499 41350000.0
3021.3510633 40100000.0
3021.3812769 39130000.0
3021.4114908 38470000.0
3021.4417051 38130000.0
3021.4719196 38080000.0
3021.5021344 38330000.0
3021.5323496 38890000.0
3021.562565 39770000.0
3021.5927808 40880000.0
3021.6229968 42030000.0
3021.6532132 43020000.0
3021.6834298 43720000.0
3021.7136468 44130000.0
3021.743864 44260000.0
3021.7740816 44130000.0
3021.8042995 43760000.0
3021.8345176 43230000.0
3021.8647361 42700000.0
3021.8949549 42290000.0
3021.9251739 42040000.0
3021.9553933 41960000.0
3021.985613 42020000.0
3022.0158329 42170000.0
3022.0460532 42390000.0
