      wl    A1  A2  A3
      #microns
       15.470784      0.28769281      0.28769281      0.52110024
       15.826092      0.29920307      0.29920307      0.50426565
       16.189560      0.31298042      0.31298042      0.50499510
       16.561376      0.32656874      0.32656874      0.50700003
       16.941731      0.33890810      0.33890810      0.50800002
       17.330821      0.34951025      0.34951025      0.50748977
       17.728847      0.35520941      0.35520941      0.50579056
       18.136014      0.35699999      0.35699999      0.50193314
       18.552533      0.35308295      0.35308295      0.49808296
       18.978617      0.34601726      0.34601726      0.49201729
       19.414488      0.33451707      0.33451707      0.48483903
       19.860368      0.31924079      0.31924079      0.47662040
       20.316489      0.30478371      0.30478371      0.46826124
       20.783085      0.29332104      0.29332104      0.45845682
       21.260397      0.28216947      0.28216947      0.44816948
       21.748671      0.26955287      0.26955287      0.43673715
       22.248160      0.25756190      0.25756190      0.42574921
       22.759119      0.24672663      0.24672663      0.41372661
       23.281814      0.23732092      0.23732092      0.40242790
       23.816513      0.22788506      0.22788506      0.39088506
       24.363492      0.21945634      0.21945634      0.37991270
       24.923033      0.21078784      0.21078784      0.36918176
       25.495425      0.20305382      0.20305382      0.35908073
       26.080963      0.19516515      0.19516515      0.34916514
       26.679948      0.18811826      0.18811826      0.34017740
       27.292690      0.18079190      0.18079190      0.33118785
       27.919504      0.17441761      0.17441761      0.32241762
       28.560714      0.16793697      0.16793697      0.31387396
       29.216650      0.16215706      0.16215706      0.30415705
       29.887651      0.15700001      0.15700001      0.29200000
       30.574062      0.15173264      0.15173264      0.28159897
       31.276237      0.14581959      0.14581959      0.27172940
       31.994539      0.14097478      0.14097478      0.26194956
       32.729338      0.13600368      0.13600368      0.25300734
       33.481012      0.13109494      0.13109494      0.24418988
       34.249950      0.12715025      0.12715025      0.23630050
       35.036547      0.12220693      0.12220693      0.22841385
       35.841210      0.11824395      0.11824395      0.22048790
       36.664352      0.11431261      0.11431261      0.21262521
       37.506400      0.11035048      0.11035048      0.20535048
       38.367786      0.10641915      0.10641915      0.19783831
       39.248955      0.10248281      0.10248281      0.19096561
       40.150361     0.098616136     0.098616136      0.18352017
       41.072470     0.094973044     0.094973044      0.17657304
       42.015756     0.091314147     0.091314147      0.17028537
       42.980706     0.087841749     0.087841749      0.16335437
       43.967817     0.084391338     0.084391338      0.15673918
       44.977598     0.080971852     0.080971852      0.15081693
       46.010571     0.077864770     0.077864770      0.14484974
       47.067267     0.074631833     0.074631833      0.13890262
       48.148232     0.071679419     0.071679419      0.13394120
       49.254022     0.069014939     0.069014939      0.12804269
       50.385209     0.066159841     0.066159841      0.12308549
